start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng,pct_january,pct_jan1416
Oakley Ave & Irving Park Rd,2594,77,1,2023-02-02,2024-01-31,41.953924894,-87.686238885,35.62066306861989,0.4626060138781804
Ogden Ave & Chicago Ave,13133,349,3,2023-02-01,2024-01-31,41.883601657275165,-87.68975805,31.889134241985836,0.2741186324526003
Ogden Ave & Congress Pkwy,4148,123,2,2023-02-01,2024-01-31,41.874650598,-87.75756263333334,35.58341369334619,0.5785920925747348
Ogden Ave & Race Ave,9235,237,2,2023-02-01,2024-01-31,41.880384803,-87.68051826666667,30.7958852192745,0.2598808879263671
Ogden Ave & Roosevelt Rd,2535,84,0,2023-02-01,2024-01-31,41.705845233333335,-87.71734213333333,39.76331360946745,0.0
Orleans St & Chestnut St (NEXT Apts),9174,247,7,2023-02-01,2024-01-31,41.883601657275165,-87.64862671494483,32.30869849574886,0.9156311314584696
Orleans St & Elm St,6294,142,1,2023-02-01,2024-01-31,41.87799155,-87.64862671494483,27.073403241182078,0.19065776930409914
Orleans St & Hubbard St,9052,315,8,2023-02-01,2024-01-31,41.880144954,-87.74686418333333,41.758727353071144,1.0605391073795847
Orleans St & Merchandise Mart Plaza,19987,729,10,2023-02-01,2024-01-31,41.879223466,-87.68005096666667,43.76844949216991,0.6003902536648822
Paulina Ave & North Ave,7282,150,4,2023-02-01,2024-01-31,41.86556503333333,-87.716762,24.718483932985443,0.6591595715462785
Paulina St & 18th St,4463,146,5,2023-02-02,2024-01-31,41.8538097,-87.71515141666667,39.25610575845844,1.3443871835088506
Paulina St & Flournoy St,8375,314,5,2023-02-01,2024-01-31,41.853214418519656,-87.68599833333333,44.9910447761194,0.7164179104477612
Paulina St & Howard St,2639,74,2,2023-02-01,2024-01-31,42.018464804,-87.673820972,33.64910951117848,0.9094353921940129
Paulina St & Montrose Ave,5523,216,11,2023-02-01,2024-01-31,41.89023363333333,-87.68015061666667,46.931015752308525,2.390005431830527
Peoria St & Jackson Blvd,17446,623,11,2023-02-01,2024-01-31,41.842626214,-87.704150558,42.85222973747564,0.7566204287515763
Pine Grove Ave & Irving Park Rd,16546,338,10,2023-02-01,2024-01-31,41.877773046,-87.66593216666666,24.513477577662275,0.7252508159071679
Pine Grove Ave & Waveland Ave,21160,485,8,2023-02-01,2024-01-31,41.883601657275165,-87.67066776752472,27.504725897920604,0.45368620037807184
Prairie Ave & Garfield Blvd,1297,43,1,2023-02-02,2024-01-31,41.794573188,-87.6280285,39.784117193523514,0.9252120277563608
Racine Ave & 13th St,1372,44,0,2023-02-01,2024-01-31,41.864669919,-87.657460332,38.48396501457726,0.0
Racine Ave & 15th St,3129,78,0,2023-02-01,2024-01-31,41.860921025,-87.68962943333334,29.913710450623203,0.0
Racine Ave & 18th St,6183,185,5,2023-02-01,2024-01-31,41.857611656,-87.68051826666667,35.904900533721495,0.970402717127608
