start_lat,start_lng,rides_all,rides_january,rides_jan14_16,first_ride,last_ride
41.79,-87.65,40,1,0,2023-02-12,2024-01-04
41.79,-87.64,16,0,0,2023-04-28,2023-11-23
41.79,-87.63,177,7,0,2023-02-08,2024-01-28
41.79,-87.62,121,0,0,2023-03-02,2023-12-24
41.79,-87.61,478,4,0,2023-02-05,2024-01-24
41.79,-87.6,12563,560,0,2023-02-01,2024-01-31
41.79,-87.59,4245,146,0,2023-02-01,2024-01-31
41.79,-87.58,803,14,0,2023-02-01,2024-01-29
41.8,-87.8,7,3,0,2023-05-13,2024-01-30
41.8,-87.79,20,0,0,2023-05-21,2023-12-20
41.8,-87.78,9,0,0,2023-06-01,2023-12-05
41.8,-87.77,6,0,0,2023-06-08,2023-10-13
41.8,-87.76,70,4,0,2023-05-03,2024-01-20
41.8,-87.75,52,1,0,2023-04-18,2024-01-23
41.8,-87.74,66,0,0,2023-02-07,2023-12-15
41.8,-87.73,107,4,0,2023-02-02,2024-01-25
41.8,-87.72,330,5,0,2023-02-07,2024-01-25
41.8,-87.71,163,4,0,2023-02-11,2024-01-26
41.8,-87.7,158,5,0,2023-02-02,2024-01-31
41.8,-87.69,245,2,0,2023-02-01,2024-01-25
41.8,-87.68,106,0,0,2023-02-08,2023-12-28
41.8,-87.67,99,2,0,2023-02-06,2024-01-23
41.8,-87.66,104,4,0,2023-02-17,2024-01-29
41.8,-87.65,40,0,0,2023-03-10,2023-11-01
41.8,-87.64,63,1,0,2023-02-08,2024-01-28
41.8,-87.63,26,0,0,2023-02-10,2023-12-13
41.8,-87.62,194,8,0,2023-02-01,2024-01-31
41.8,-87.61,313,6,0,2023-02-02,2024-01-29
41.8,-87.6,4396,153,0,2023-02-01,2024-01-31
41.8,-87.59,7311,304,2,2023-02-01,2024-01-31
41.8,-87.58,1519,29,0,2023-02-01,2024-01-31
41.81,-87.75,9,0,0,2023-04-11,2023-09-30
41.81,-87.74,50,0,0,2023-02-08,2023-12-10
41.81,-87.73,196,0,0,2023-02-08,2023-12-09
41.81,-87.72,159,3,0,2023-02-08,2024-01-06
41.81,-87.71,106,5,0,2023-02-09,2024-01-26
41.81,-87.7,400,4,0,2023-02-18,2024-01-08
41.81,-87.69,170,5,0,2023-02-05,2024-01-31
41.81,-87.68,341,4,0,2023-02-02,2024-01-31
41.81,-87.67,196,2,0,2023-02-04,2024-01-30
41.81,-87.66,105,3,0,2023-02-10,2024-01-22
41.81,-87.65,23,1,0,2023-03-13,2024-01-05
41.81,-87.64,88,0,0,2023-03-01,2023-12-15
41.81,-87.63,189,3,0,2023-02-06,2024-01-31
41.81,-87.62,463,10,0,2023-02-04,2024-01-29
41.81,-87.61,365,12,0,2023-02-01,2024-01-31
41.81,-87.6,1107,8,0,2023-02-01,2024-01-31
41.81,-87.59,518,12,0,2023-02-05,2024-01-31
41.81,-87.58,40,0,0,2023-02-12,2023-10-01
41.82,-87.74,2,0,0,2023-07-27,2023-08-02
41.82,-87.73,34,0,0,2023-02-18,2023-11-28
41.82,-87.72,17,1,0,2023-03-30,2024-01-05
41.82,-87.71,39,0,0,2023-02-12,2023-10-01
41.82,-87.7,232,3,0,2023-02-01,2024-01-31
41.82,-87.69,697,15,0,2023-02-03,2024-01-31
41.82,-87.68,153,0,0,2023-02-22,2023-12-21
41.82,-87.67,83,3,0,2023-02-04,2024-01-10
41.82,-87.66,12,0,0,2023-05-19,2023-11-12
41.82,-87.65,26,2,0,2023-03-17,2024-01-12
41.82,-87.64,122,1,0,2023-02-02,2024-01-11
41.82,-87.63,56,3,0,2023-02-04,2024-01-31
41.82,-87.62,406,6,0,2023-02-01,2024-01-29
41.82,-87.61,211,3,0,2023-02-03,2024-01-27
41.82,-87.6,614,6,0,2023-02-10,2024-01-31
41.82,-87.59,48,0,0,2023-04-10,2023-11-05
41.83,-87.73,72,0,0,2023-02-09,2023-10-12
41.83,-87.72,24,0,0,2023-03-09,2023-11-13
41.83,-87.71,8,0,0,2023-03-10,2023-11-10
41.83,-87.7,74,0,0,2023-02-21,2023-12-21
41.83,-87.69,84,1,0,2023-02-06,2024-01-27
41.83,-87.68,610,5,0,2023-02-06,2024-01-29
41.83,-87.67,415,7,0,2023-02-01,2024-01-31
41.83,-87.66,196,3,0,2023-02-18,2024-01-29
41.83,-87.65,842,14,0,2023-02-01,2024-01-30
41.83,-87.64,522,7,0,2023-02-01,2024-01-30
41.83,-87.63,2165,38,0,2023-02-01,2024-01-31
41.83,-87.62,1361,38,1,2023-02-02,2024-01-31
41.83,-87.61,1164,23,0,2023-02-01,2024-01-31
41.83,-87.6,217,0,0,2023-02-05,2023-12-23
41.84,-87.74,19,0,0,2023-02-05,2023-10-05
41.84,-87.73,162,2,0,2023-02-06,2024-01-28
41.84,-87.72,405,17,0,2023-02-02,2024-01-30
41.84,-87.71,205,3,0,2023-02-03,2024-01-29
41.84,-87.7,83,0,0,2023-02-02,2023-12-12
41.84,-87.69,61,0,0,2023-02-19,2023-12-21
41.84,-87.68,35,1,0,2023-03-15,2024-01-05
41.84,-87.67,271,6,0,2023-02-05,2024-01-25
41.84,-87.66,751,19,0,2023-02-01,2024-01-31
41.84,-87.65,1440,26,0,2023-02-01,2024-01-30
41.84,-87.64,979,12,0,2023-02-01,2024-01-29
41.84,-87.63,1821,39,0,2023-02-01,2024-01-31
41.84,-87.62,1972,42,0,2023-02-01,2024-01-31
41.84,-87.61,1294,5,0,2023-02-01,2024-01-19
41.84,-87.6,47,0,0,2023-02-19,2023-12-24
41.85,-87.76,1,0,0,2023-07-31,2023-07-31
41.85,-87.74,41,0,0,2023-04-07,2023-11-23
41.85,-87.73,106,1,0,2023-02-28,2024-01-05
41.85,-87.72,207,5,0,2023-02-08,2024-01-29
41.85,-87.71,208,4,0,2023-02-02,2024-01-28
41.85,-87.7,460,8,0,2023-02-01,2024-01-29
41.85,-87.69,944,22,0,2023-02-02,2024-01-31
41.85,-87.68,1289,38,0,2023-02-01,2024-01-31
41.85,-87.67,798,23,0,2023-02-03,2024-01-31
41.85,-87.66,402,10,0,2023-02-24,2024-01-28
41.85,-87.65,447,14,0,2023-02-01,2024-01-31
41.85,-87.64,1153,21,1,2023-02-01,2024-01-31
41.85,-87.63,2148,35,0,2023-02-01,2024-01-31
41.85,-87.62,1557,27,0,2023-02-01,2024-01-30
41.85,-87.61,655,0,0,2023-02-02,2023-12-30
41.86,-87.75,1,0,0,2023-10-11,2023-10-11
41.86,-87.74,36,0,0,2023-05-22,2023-11-25
41.86,-87.73,81,0,0,2023-02-15,2023-12-02
41.86,-87.72,62,1,0,2023-02-12,2024-01-27
41.86,-87.71,145,1,0,2023-02-07,2024-01-28
41.86,-87.7,614,5,0,2023-02-13,2024-01-31
41.86,-87.69,757,23,0,2023-02-01,2024-01-27
41.86,-87.68,717,14,0,2023-02-01,2024-01-31
41.86,-87.67,1212,28,0,2023-02-06,2024-01-31
41.86,-87.66,1887,41,0,2023-02-01,2024-01-30
41.86,-87.65,2607,78,0,2023-02-01,2024-01-31
41.86,-87.64,1321,76,0,2023-02-01,2024-01-31
41.86,-87.63,1964,52,0,2023-02-01,2024-01-31
41.86,-87.62,2824,59,0,2023-02-01,2024-01-31
41.86,-87.61,2821,0,0,2023-02-01,2023-12-30
41.87,-87.78,1,0,0,2023-08-19,2023-08-19
41.87,-87.77,73,0,0,2023-02-08,2023-12-09
41.87,-87.76,74,0,0,2023-02-24,2023-12-11
41.87,-87.75,92,1,0,2023-02-07,2024-01-07
41.87,-87.74,36,0,0,2023-02-14,2023-10-31
41.87,-87.73,48,2,0,2023-02-15,2024-01-30
41.87,-87.72,52,1,0,2023-02-04,2024-01-27
41.87,-87.71,272,12,0,2023-02-02,2024-01-31
41.87,-87.7,176,2,0,2023-02-01,2024-01-25
41.87,-87.69,969,10,0,2023-02-01,2024-01-31
41.87,-87.68,2410,46,0,2023-02-01,2024-01-31
41.87,-87.67,4005,117,0,2023-02-01,2024-01-31
41.87,-87.66,4361,78,0,2023-02-01,2024-01-31
41.87,-87.65,6387,256,0,2023-02-01,2024-01-31
41.87,-87.64,2493,67,0,2023-02-01,2024-01-31
41.87,-87.63,6428,160,0,2023-02-01,2024-01-31
41.87,-87.62,6845,44,0,2023-02-01,2024-01-31
41.87,-87.61,2169,3,0,2023-02-10,2024-01-30
41.88,-87.78,3,0,0,2023-04-04,2023-11-06
41.88,-87.77,101,0,0,2023-02-07,2023-12-15
41.88,-87.76,284,1,0,2023-02-05,2024-01-29
41.88,-87.75,210,0,0,2023-02-03,2023-11-20
41.88,-87.74,161,1,0,2023-02-01,2024-01-22
41.88,-87.73,146,3,0,2023-02-28,2024-01-12
41.88,-87.72,142,1,0,2023-03-04,2024-01-02
41.88,-87.71,307,3,0,2023-02-04,2024-01-24
41.88,-87.7,249,6,0,2023-02-06,2024-01-29
41.88,-87.69,627,20,0,2023-02-05,2024-01-31
41.88,-87.68,1135,29,0,2023-02-06,2024-01-31
41.88,-87.67,2793,66,0,2023-02-01,2024-01-31
41.88,-87.66,5915,150,0,2023-02-01,2024-01-31
41.88,-87.65,14646,363,0,2023-02-01,2024-01-31
41.88,-87.64,15500,552,0,2023-02-01,2024-01-31
41.88,-87.63,19553,649,0,2023-02-01,2024-01-31
41.88,-87.62,10075,121,0,2023-02-02,2024-01-31
41.88,-87.61,828,7,0,2023-02-06,2024-01-30
41.89,-87.79,1,0,0,2023-07-27,2023-07-27
41.89,-87.78,14,0,0,2023-04-12,2023-12-26
41.89,-87.77,150,6,0,2023-02-08,2024-01-31
41.89,-87.76,187,2,0,2023-02-03,2024-01-31
41.89,-87.75,63,0,0,2023-02-19,2023-12-23
41.89,-87.74,35,0,0,2023-02-13,2023-12-28
41.89,-87.73,49,2,0,2023-02-04,2024-01-31
41.89,-87.72,160,8,0,2023-02-02,2024-01-25
41.89,-87.71,416,3,0,2023-02-10,2024-01-26
41.89,-87.7,261,3,0,2023-02-03,2024-01-30
41.89,-87.69,841,26,0,2023-02-02,2024-01-29
41.89,-87.68,2373,35,0,2023-02-01,2024-01-31
41.89,-87.67,2972,44,0,2023-02-01,2024-01-31
41.89,-87.66,6947,151,0,2023-02-01,2024-01-31
41.89,-87.65,13776,276,0,2023-02-01,2024-01-31
41.89,-87.64,13343,419,0,2023-02-01,2024-01-31
41.89,-87.63,24430,648,3,2023-02-01,2024-01-31
41.89,-87.62,16018,506,0,2023-02-01,2024-01-31
41.89,-87.61,10218,57,0,2023-02-01,2024-01-31
41.89,-87.6,280,12,0,2023-02-12,2024-01-28
41.9,-87.78,25,0,0,2023-02-19,2023-11-16
41.9,-87.77,54,2,0,2023-02-03,2024-01-21
41.9,-87.76,87,0,0,2023-02-14,2023-12-19
41.9,-87.75,199,6,0,2023-02-04,2024-01-30
41.9,-87.74,38,2,0,2023-03-20,2024-01-03
41.9,-87.73,148,2,0,2023-02-03,2024-01-29
41.9,-87.72,331,5,0,2023-02-05,2024-01-23
41.9,-87.71,995,11,0,2023-02-04,2024-01-31
41.9,-87.7,2540,47,0,2023-02-01,2024-01-31
41.9,-87.69,5576,133,0,2023-02-01,2024-01-31
41.9,-87.68,6118,148,1,2023-02-01,2024-01-31
41.9,-87.67,7647,180,0,2023-02-01,2024-01-31
41.9,-87.66,4059,92,0,2023-02-01,2024-01-31
41.9,-87.65,3217,85,0,2023-02-01,2024-01-31
41.9,-87.64,7718,224,0,2023-02-01,2024-01-31
41.9,-87.63,19239,458,0,2023-02-01,2024-01-31
41.9,-87.62,11613,154,0,2023-02-01,2024-01-31
41.9,-87.61,67,0,0,2023-02-01,2023-11-19
41.91,-87.85,1,0,0,2023-08-08,2023-08-08
41.91,-87.81,19,1,0,2023-02-26,2024-01-04
41.91,-87.8,63,4,0,2023-02-06,2024-01-26
41.91,-87.79,57,0,0,2023-02-03,2023-12-13
41.91,-87.78,117,0,0,2023-02-12,2023-11-30
41.91,-87.77,129,3,0,2023-02-11,2024-01-25
41.91,-87.76,269,4,0,2023-02-01,2024-01-31
41.91,-87.75,207,5,0,2023-02-06,2024-01-29
41.91,-87.74,216,6,0,2023-02-07,2024-01-29
41.91,-87.73,620,28,0,2023-02-03,2024-01-31
41.91,-87.72,1786,43,0,2023-02-01,2024-01-31
41.91,-87.71,2247,47,0,2023-02-01,2024-01-31
41.91,-87.7,2301,46,0,2023-02-01,2024-01-31
41.91,-87.69,3975,86,0,2023-02-01,2024-01-31
41.91,-87.68,9485,203,0,2023-02-01,2024-01-31
41.91,-87.67,7775,155,1,2023-02-01,2024-01-31
